item_id,item_type,planned_section,planned_claim,evidence_source,artifact_path,dataset,models,metrics,current_status,required_processing,requires_training,allowed_wording,prohibited_wording,final_recommendation
D2,DATA,Data and Leakage-Free Evaluation Protocol,2018 project-layer files cover 2018-04-01 through 2018-08-31 on a 5-minute grid.,Lineage audit,GFNODE_experiments/asoc_data_lineage_audit/DATASET_LINEAGE_AUDIT_REPORT.md,Sanyo; Hanwha; Qcells,Not applicable,Rows; timestamps; missingness,READY,Disclose these as best-available project source layers and document their relationship to newly downloaded authoritative raw files.,NO,"The benchmark inputs are timestamped, unnormalized project-layer CSVs on a complete 5-minute grid.",They are untouched original downloads with preserved original missingness.,CORE_DATA_CAVEAT
M1,MODEL,Forecasting Models and Experimental Setup,The completed clean comparison contains exactly four models and three seeds per array.,Run status and config,GFNODE_experiments/asoc_discrete_viability/run_status.csv,Three arrays,ModernTCN; iTransformer; PatchTST; Discrete Candidate,36 completed runs,READY,"Explain Discrete Candidate as an internal comparator, not the proposed method; cite original implementations.",NO,"Four direct H144 models were evaluated with seeds 42, 43 and 44.",DLinear or TimesNet were evaluated in the clean benchmark.,CORE_SETUP
M2,MODEL,Forecasting Models and Experimental Setup,"All clean models use the same splits, labels, masks, checkpoint rule and horizon definition.",Benchmark implementation and prediction files,GFNODE_experiments/asoc_discrete_viability/benchmark.py,Three arrays,Four completed models,Artifact equality checks,READY_AFTER_RECALCULATION,Programmatically re-verify labels/timestamps/masks across all 36 prediction files and archive a compact provenance table.,NO,The comparison uses common split and evaluation semantics.,Architectures have identical parameter counts or tuning budgets.,MANDATORY_FAIRNESS_RECHECK
T1,TABLE,Data and Leakage-Free Evaluation Protocol,"Dataset, array metadata, raw/project-layer lineage, split boundaries, missingness and sample counts.",Metadata and clean summaries,GFNODE_experiments/asoc_multirate_data_audit/MULTIRATE_DATA_AUDIT_REPORT.md; GFNODE_experiments/asoc_clean_decision/split_and_sample_summary.json,Three arrays,Not applicable,Counts and metadata,NEEDS_METADATA,"Verify official metadata, compute one authoritative compact table, distinguish 2018 benchmark and 2022 Site 17 case study.",NO,Table reports confirmed metadata and marks unresolved provenance explicitly.,Silent filling of UNKNOWN metadata.,TABLE_1
T2,TABLE,Forecasting Models and Experimental Setup,"Model configurations, parameters and fixed training settings.",Configs and efficiency table,GFNODE_experiments/asoc_discrete_viability/config.json; GFNODE_experiments/asoc_discrete_viability/parameter_efficiency.csv,Three arrays,Four completed models,Parameters; best epoch; training time,READY_AFTER_RECALCULATION,Verify parameter counts from code and specify hardware/software; measure inference consistently without retraining.,NO,Parameter and timing results are implementation- and hardware-specific.,Efficiency demonstrates deployment readiness.,TABLE_2
T3,TABLE,Results,"Main multi-horizon results for three arrays and four models, three-seed mean±SD.",Per-seed predictions and metrics,GFNODE_experiments/asoc_discrete_viability/artifacts/*/test_H144.npz,Three arrays,Four completed models,RMSE; MAE; R2; nRMSE; full/daylight,READY_AFTER_RECALCULATION,Recompute from 36 H144 files; include evaluated-target counts and consistent significant figures.,NO,Results apply to the tested co-located arrays and fixed split.,SOTA superiority or cross-climate generalization.,TABLE_3
T4,TABLE,Results,"Parameter count, training time, inference latency and performance rank.",Efficiency and artifacts,GFNODE_experiments/asoc_discrete_viability/parameter_efficiency.csv,Three arrays,Four completed models,Parameters; seconds; RMSE rank,NEEDS_NONTRAINING_ANALYSIS,Run a fixed-hardware inference-only benchmark and report warm-up/repetitions/batch size; no model training.,NO,The table compares measured implementation cost under one documented environment.,Operational deployment proven.,TABLE_4
T5,TABLE,Trajectory Error and Information-Limit Analysis,Site 17 lead-time and scenario error decomposition.,Trajectory error metrics,GFNODE_experiments/asoc_deterministic_trajectory_opportunity/TRAJECTORY_ERROR_METRICS.csv,Site 17 Sanyo 2022,TRAJECTORY_ONLY,RMSE; MAE; Bias; difference MAE; TV ratio; SSE share,READY,Condense Validation-led rows; keep Test explicitly exploratory.,NO,High-change Validation windows dominate error and exhibit smoothing.,This proves an irreducible physical limit.,TABLE_5
T6,TABLE,Data and Leakage-Free Evaluation Protocol,"Protocol checklist and legacy-audit disposition, not a performance comparison.",Stage 0 and clean tests,docs/asoc_stage0_audit/STAGE0_AUDIT_REPORT.md,2018 project arrays,Not model-specific,Fit ranges; split order; test isolation,READY,"Do not report leaked legacy metrics; show invalid practice, clean replacement and verification evidence.",NO,The clean protocol replaces identified invalid practices by construction.,The clean protocol caused a quantified performance drop unless paired reruns exist.,TABLE_6
F1,FIGURE,Data and Leakage-Free Evaluation Protocol,End-to-end clean data and evaluation flow.,Clean implementation,GFNODE_experiments/asoc_discrete_viability/benchmark.py,Three arrays,All clean models,Process diagram,READY,Draw from actual function order with Train-fit / Val-transform / Test-once boundaries.,NO,Timestamp split precedes fitting and split-local windowing.,Generic conceptual flow unsupported by code.,FIGURE_1
F2,FIGURE,Data and Leakage-Free Evaluation Protocol,Time split and split-local lookback/H144 window construction.,Config and split summary,GFNODE_experiments/asoc_discrete_viability/config.json,Three arrays,All clean models,Timeline schematic,READY,"Use exact dates, 72-step lookback and 144-step target; show no boundary crossing.",NO,Windows are constructed independently within each split.,Purged gap exists if it was not configured.,FIGURE_2
F3,FIGURE,Results,Multi-horizon RMSE/nRMSE comparison across arrays.,Recomputed prediction metrics,GFNODE_experiments/asoc_discrete_viability/artifacts/*/test_H144.npz,Three arrays,Four completed models,Mean±SD RMSE/nRMSE,READY_AFTER_RECALCULATION,Plot uncertainty across seeds and avoid ranking-only visual rhetoric.,NO,ModernTCN is best among tested models in most combinations.,Universal SOTA claim.,FIGURE_3
F4,FIGURE,Trajectory Error and Information-Limit Analysis,Lead-time error growth and change-amplitude/TV collapse on Site 17 Validation.,Trajectory metrics,GFNODE_experiments/asoc_deterministic_trajectory_opportunity/TRAJECTORY_ERROR_METRICS.csv,Site 17 Sanyo 2022,TRAJECTORY_ONLY,H1-H12 RMSE; variation ratios,READY,Use Validation means and seed bands; label Test separately if shown.,NO,Error increases with lead and within-trajectory changes are attenuated.,The effect is verified across sites or climates.,FIGURE_4
F5,FIGURE,Trajectory Error and Information-Limit Analysis,Representative stable and high-change trajectories selected without Test cherry-picking.,Saved predictions and Validation inference,GFNODE_experiments/asoc_multirate_information_screen/results/MEAN_ONLY/*,Site 17 Sanyo 2022,TRAJECTORY_ONLY,Trajectory examples,NEEDS_NONTRAINING_ANALYSIS,Predefine selection on Train/Validation quantiles; render fixed examples and disclose selection rule.,NO,Examples illustrate measured smoothing regimes.,Best-looking Test examples prove typical behavior.,FIGURE_5
F6,FIGURE,Results,Parameter–performance relation for the four implementations.,Efficiency and recalculated metrics,GFNODE_experiments/asoc_discrete_viability/parameter_efficiency.csv,Three arrays,Four completed models,Parameters versus RMSE rank,NEEDS_NONTRAINING_ANALYSIS,Re-measure inference under one environment; show no causal capacity claim.,NO,Accuracy and implementation cost differ across tested models.,Larger parameter count causes lower error.,FIGURE_6
B1,BASELINE,Results,Naive persistence/seasonal persistence provides an interpretable skill reference.,Existing histories and common test origins,GFNODE_experiments/asoc_discrete_viability/artifacts/*/test_H144.npz plus clean prepared histories,Three arrays,Persistence; optional seasonal persistence,RMSE skill; MAE,NEEDS_NONTRAINING_ANALYSIS,Compute deterministic analytic baseline on identical origins without fitting a neural network; do not use Test to choose variants.,NO,Neural models improve over a predeclared persistence reference if supported after calculation.,Skill improvement before it is calculated.,MANDATORY_NONTRAINING_COMPLETION
P1,PROVENANCE,Methods / Supplement,"Every reported number maps to config, run, prediction file and recomputation code.","Run status, metrics and artifacts",GFNODE_experiments/asoc_discrete_viability,Three arrays,Four completed models,36-run provenance,NEEDS_NONTRAINING_ANALYSIS,Create a compact manuscript analysis script/table in the next stage; do not add hashes or immutable registries.,NO,All main results are reproducible from saved H144 predictions.,Old Tables 9–13 are reproducible.,MANDATORY_NONTRAINING_COMPLETION
R1,REMOVE,Entire manuscript,Original GFNODE Tables 9–13 and Figures 10–14.,Route closure claim disposition,GFNODE_experiments/asoc_route_closure_and_manuscript_plan/CLAIM_DISPOSITION_MATRIX.csv,Legacy 2018 experiments,GFNODE and old baselines,Legacy claims,REMOVE,Do not import numbers or figures; rebuild all tables/figures from clean artifacts.,NO,Not applicable.,9/12 R2 best; 10/12 RMSE best; 3.6%–27.2% reduction; continuous-time superiority.,PERMANENTLY_EXCLUDE
