adaptive_fusion,all_four_jointly_present,candidate_claim_disposition,doi_or_identifier,dual_stream_fusion_evidence,evidence_page_or_section,forecast_age_evidence,forecast_age_explicit,forecast_task,full_text_checked,future_nwp_stream,historical_observation_stream,implication_for_claim,innovation_threat,issue_time_eligibility_evidence,issue_time_explicit,lead_dependent_reliability_evidence,lead_reliability_explicit,official_or_fulltext_url,overlap_note,remaining_difference,title,venue,year
NOT_FULLY_CODED,,ADJACENT_PRIOR,10.3390/en17020466,,,,NOT_FULLY_CODED,PV/solar forecasting or operational forecast protocol,YES,reported where applicable,reported where applicable,,MEDIUM,,NOT_FULLY_CODED,,NOT_FULLY_CODED,https://www.mdpi.com/1996-1073/17/2/466,Day-ahead PV from NWP variables,,Hourly Photovoltaic Production Prediction Using Numerical Weather Data and Neural Networks,Energies,2024
NOT_FULLY_CODED,,ADJACENT_PRIOR,10.3390/su15086538,,,,NOT_FULLY_CODED,PV/solar forecasting or operational forecast protocol,YES,reported where applicable,reported where applicable,,MEDIUM,,NOT_FULLY_CODED,,NOT_FULLY_CODED,https://www.mdpi.com/2071-1050/15/8/6538,NWP and PV sequence attention weighting,,Forecasting and Uncertainty Analysis of Day-Ahead Photovoltaic Power Based on WT-CNN-BiLSTM-AM-GMM,Sustainability,2023
NOT_FULLY_CODED,,ADJACENT_PRIOR,10.3390/s24051593,,,,NOT_FULLY_CODED,PV/solar forecasting or operational forecast protocol,YES,reported where applicable,reported where applicable,,MEDIUM,,NOT_FULLY_CODED,,NOT_FULLY_CODED,https://www.mdpi.com/1424-8220/24/5/1593,DKASC application; forecast-weather context discussed,,Photovoltaic Power Prediction Based on Hybrid Deep Learning Networks and Meteorological Data,Sensors,2024
NOT_FULLY_CODED,,ADJACENT_PRIOR,10.1038/s41598-025-90654-4,,,,NOT_FULLY_CODED,PV/solar forecasting or operational forecast protocol,YES,reported where applicable,reported where applicable,,MEDIUM,,NOT_FULLY_CODED,,NOT_FULLY_CODED,https://www.nature.com/articles/s41598-025-90654-4,DKASC plus numerical weather features; longer horizons,,Novel model for medium to long term photovoltaic power prediction using interactive feature trend transformer,Scientific Reports,2025
NOT_FULLY_CODED,,ADJACENT_PRIOR,arXiv:2403.01653,,,,NOT_FULLY_CODED,PV/solar forecasting or operational forecast protocol,YES,reported where applicable,reported where applicable,,LOW,,NOT_FULLY_CODED,,NOT_FULLY_CODED,https://arxiv.org/abs/2403.01653,Historical generation and weather dual information at regional scale,,Day-ahead regional solar power forecasting with hierarchical temporal convolutional neural networks,arXiv,2024
NOT_FULLY_CODED,,ADJACENT_PRIOR,10.1016/j.apenergy.2021.117704,,,,NOT_FULLY_CODED,PV/solar forecasting or operational forecast protocol,NO,reported where applicable,reported where applicable,,LOW,,NOT_FULLY_CODED,,NOT_FULLY_CODED,https://www.sciencedirect.com/science/article/pii/S030626192101059X,Direct five-minute day-ahead trajectory without NWP,,A temporal distributed hybrid deep learning model for day-ahead distributed PV power forecasting,Applied Energy,2021
NOT_FULLY_CODED,,ADJACENT_PRIOR,10.1016/j.apenergy.2021.117291,,,,NOT_FULLY_CODED,PV/solar forecasting or operational forecast protocol,NO,reported where applicable,reported where applicable,,MEDIUM,,NOT_FULLY_CODED,,NOT_FULLY_CODED,https://www.sciencedirect.com/science/article/pii/S0306261921007054,Uses NWP and historical PV with weather clustering,,Forecasting and uncertainty analysis of day-ahead photovoltaic power using a novel forecasting method,Applied Energy,2021
NOT_FULLY_CODED,,ADJACENT_PRIOR,10.1016/j.energy.2021.120094,,,,NOT_FULLY_CODED,PV/solar forecasting or operational forecast protocol,NO,reported where applicable,reported where applicable,,LOW,,NOT_FULLY_CODED,,NOT_FULLY_CODED,https://www.sciencedirect.com/science/article/pii/S0360544221003431,Direct multi-step PV under weather regimes,,A multi-step ahead photovoltaic power prediction model based on similar day and deep extreme learning machine,Energy,2021
NOT_FULLY_CODED,,ADJACENT_PRIOR,10.1016/j.renene.2021.02.166,,,,NOT_FULLY_CODED,PV/solar forecasting or operational forecast protocol,NO,reported where applicable,reported where applicable,,LOW,,NOT_FULLY_CODED,,NOT_FULLY_CODED,https://www.sciencedirect.com/science/article/pii/S0960148121003475,Multi-step 1–60 minute historical-only benchmark,,Deep learning neural networks for short-term photovoltaic power forecasting,Renewable Energy,2021
NOT_FULLY_CODED,,ADJACENT_PRIOR,arXiv:2312.00090,,,,NOT_FULLY_CODED,PV/solar forecasting or operational forecast protocol,NO,reported where applicable,reported where applicable,,MEDIUM,,NOT_FULLY_CODED,,NOT_FULLY_CODED,https://arxiv.org/abs/2312.00090,Granular future meteorological covariates,,Tree-based Forecasting of Day-ahead Solar Power Generation from Granular Meteorological Features,arXiv,2024
NOT_FULLY_CODED,,ADJACENT_PRIOR,10.3390/s26020593,,,,NOT_FULLY_CODED,PV/solar forecasting or operational forecast protocol,NO,reported where applicable,reported where applicable,,MEDIUM,,NOT_FULLY_CODED,,NOT_FULLY_CODED,https://www.mdpi.com/1424-8220/26/2/593,Spatial NWP downscaling and attention,,Attention-Enhanced CNN-LSTM with Spatial Downscaling for Day-Ahead Photovoltaic Power Forecasting,Sensors,2025
NOT_FULLY_CODED,,ADJACENT_PRIOR,10.3390/electronics15091817,,,,NOT_FULLY_CODED,PV/solar forecasting or operational forecast protocol,NO,reported where applicable,reported where applicable,,MEDIUM,,NOT_FULLY_CODED,,NOT_FULLY_CODED,https://www.mdpi.com/2079-9292/15/9/1817,Multi-point NWP and predicted humidity,,Regional Short-Term PV Power Forecasting Based on Graph Convolution and Transformer Networks,Electronics,2026
NOT_FULLY_CODED,,ADJACENT_PRIOR,UNKNOWN,,,,NOT_FULLY_CODED,PV/solar forecasting or operational forecast protocol,NO,reported where applicable,reported where applicable,,MEDIUM,,NOT_FULLY_CODED,,NOT_FULLY_CODED,https://www.sciencedirect.com/science/article/pii/S2590174526000607,Compares NWP sources with ML and analytical models,,Photovoltaic energy forecast: influence of two numerical weather forecast datasets,Energy Conversion and Management: X,2026
NOT_FULLY_CODED,,ADJACENT_PRIOR,10.1038/s41598-025-34874-8,,,,NOT_FULLY_CODED,PV/solar forecasting or operational forecast protocol,NO,reported where applicable,reported where applicable,,MEDIUM,,NOT_FULLY_CODED,,NOT_FULLY_CODED,https://www.nature.com/articles/s41598-025-34874-8,DKASC and days-ahead physical guidance,,PhysEmbedFormer: a physics-guided interpretable architecture for days-ahead forecasting of PV power,Scientific Reports,2025
NOT_FULLY_CODED,,ADJACENT_PRIOR,10.3390/su13073665,,,,NOT_FULLY_CODED,PV/solar forecasting or operational forecast protocol,NO,reported where applicable,reported where applicable,,LOW,,NOT_FULLY_CODED,,NOT_FULLY_CODED,https://www.mdpi.com/2071-1050/13/7/3665,Point and interval short-term solar forecasting,,Short-Term Solar Power Forecasting: A Combined LSTM and Gaussian Process Regression Method,Sustainability,2021
NOT_FULLY_CODED,,ADJACENT_PRIOR,10.1016/j.enconman.2024.119218,,,,NOT_FULLY_CODED,PV/solar forecasting or operational forecast protocol,NO,reported where applicable,reported where applicable,,LOW,,NOT_FULLY_CODED,,NOT_FULLY_CODED,https://www.sciencedirect.com/science/article/pii/S0196890424011592,Future cloud-motion information; demonstrates information boundary,,A cross-modal deep learning method for enhancing photovoltaic power forecasting with satellite imagery,Energy Conversion and Management,2025
NOT_FULLY_CODED,,ADJACENT_PRIOR,arXiv:2508.03590,,,,NOT_FULLY_CODED,PV/solar forecasting or operational forecast protocol,NO,reported where applicable,reported where applicable,,LOW,,NOT_FULLY_CODED,,NOT_FULLY_CODED,https://arxiv.org/abs/2508.03590,Alternative future irradiance forecast source,,SolarSeer: Ultrafast and accurate 24-hour solar irradiance forecasts,arXiv,2025
NOT_FULLY_CODED,,ADJACENT_PRIOR,10.1016/j.adapen.2024.100120,,,,NOT_FULLY_CODED,PV/solar forecasting or operational forecast protocol,NO,reported where applicable,reported where applicable,,MEDIUM,,NOT_FULLY_CODED,,NOT_FULLY_CODED,https://www.uu.nl/sites/default/files/Publicatie%20Lennard%20Visser%20HvK.pdf,Explicit forecast issue time and NWP update cadence,,Probabilistic solar power forecasting: economic and technical evaluation of market bidding,Applied Energy,2024
EVIDENCE_REVIEWED,NO,DIRECTLY_PARTIALLY_COVERED,UNKNOWN,PARTIAL: historical production and forecast weather are jointly used without an explicit adaptive two-stream reliability fusion.,"Sec. 2.1.3; Weather Sampling Table 3 and text, p.8",YES: age a=g-s is explicit and increases across the forecast trajectory.,EVIDENCE_REVIEWED,PV/solar forecasting or operational forecast protocol,YES,reported where applicable,reported where applicable,Latest-available and forecast-age concepts are directly occupied.,HIGH,YES: Realistic sampling uses the latest available forecast at prediction start.,EVIDENCE_REVIEWED,"PARTIAL: feature age increases with lead and credibility is discussed, but no learned lead-specific reliability gate.",EVIDENCE_REVIEWED,https://cphoto.fit.vutbr.cz/solar/data/paper/polasek22solar.pdf,Latest available forecast and linearly increasing forecast age,No explicit operational cycle rule and no adaptive lead-reliability fusion.,Photovoltaic Power Forecasting using Weather Forecasts,Conference paper,2022
NOT_FULLY_CODED,,DIRECTLY_PARTIALLY_COVERED,software/documentation,,,,NOT_FULLY_CODED,PV/solar forecasting or operational forecast protocol,YES,reported where applicable,reported where applicable,,HIGH,,NOT_FULLY_CODED,,NOT_FULLY_CODED,https://forecastarbiter.epri.com/definitions/,"Formal issue-time, lead-time and run-length definitions",,Forecast Definitions and operational NWP reference forecasts,Solar Forecast Arbiter / EPRI,2024
