"claim_id","manuscript_location","original_claim","original_evidence","audit_finding","clean_reproduction_status","disposition","allowed_revised_wording","prohibited_wording","required_new_evidence","related_experiment","source_path"
"C11","Abstract; contribution(4); Sec.4.4; Conclusion","RMSE reductions range 3.6%–27.2%","Arithmetic over printed Table13 cells","Only reproducible as unweighted mean of cellwise percentages from untraceable table; differs from reduction of mean RMSE","NOT_REPRODUCIBLE","REMOVE","No old percentage-reduction range retained","3.6%–27.2% improvement","Traceable metrics and prespecified aggregation formula","Original GFNODE","docs/asoc_stage0_audit/STAGE0_AUDIT_REPORT.md"
"C12","Abstract; Sec.4.3.1 Table11","R² >.956 at H4 and >.905 at H12 for all arrays","Printed Table11","No one raw run reproduces Table11; old preprocessing invalidates elapsed-hour semantics","NOT_REPRODUCIBLE","REMOVE","Only clean protocol results may be newly reported with explicit horizons","Validated H4/H12 legacy numbers","Regenerated clean multi-seed results","Original GFNODE","docs/asoc_stage0_audit/EXPERIMENT_PROVENANCE.csv"
"C13","Sec.4.3.2 Table12/Fig13","Seasonal representations transfer without retraining; retention 96.5%–97.6%","Printed spring/autumn comparison","Code retrains each season/H; saved autumn metrics conflict; claim directly contradicted","CONTRADICTED_BY_CODE_AND_ARTIFACT","REMOVE","Legacy study trained separate seasonal models and cannot establish transfer","Without retraining; seasonal representation transfer; 96.5%–97.6% retention","Frozen spring→autumn evaluation with source-consistent data and repeated seeds","Original GFNODE","docs/asoc_stage0_audit/EXPERIMENT_PROVENANCE.csv"
"C14","Sec.4.3.1 Table11","Architecture generalizes across PV technologies","Three arrays under identical hyperparameters","Models trained independently; same site/weather; table irreproducible; joint screens failed current sharing implementations","NO_CLEAN_GFNODE_SUPPORT","REVISE","Clean experiments compare independently trained array-specific models at one site; this is not transfer/generalization","Cross-technology generalization or zero-shot transfer","Clean cross-array/cross-site protocol, authoritative metadata and held-out transfer","Original GFNODE; cross-technology screens","GFNODE_experiments/asoc_cross_technology_screen/REPORT.md"
"C15","Sec.4.4 and Discussion","Long-horizon advantage widens","Printed Figure14/Table13","Untraceable old table; clean candidates do not show stable long-horizon superiority","FAILED_CLEAN_SCREENS","REMOVE","Lead-time degradation may be described only for a named clean baseline","Advantage widens with horizon","Clean repeated baseline results and interaction analysis","Original/Clean GFNODE; discrete viability","GFNODE_experiments/asoc_clean_decision/DECISION_EXPERIMENT_REPORT.md"
"C16","Table9 / Figure10","Complete preprocessing pipeline yields best performance and faster convergence","Single legacy ablation","Saved Full/Level4 values differ from paper; test used as validation; global preprocessing leaks future","NOT_REPRODUCIBLE","REMOVE","Train-only preprocessing protocol is retained as engineering methodology, not the old ablation result","56.1% preprocessing gain or Table9 numbers","Clean preprocessing ablation with timestamp-preserving data and repeated seeds","Original GFNODE","docs/asoc_stage0_audit/EXPERIMENT_PROVENANCE.csv"
"C17","Table10 / Figure11","Each module is validated; ODE effect grows from 2.3% to 9.7% at H144","Legacy component ablation","Only H48 raw CSV found; H48 mismatch; no H144 source","NOT_REPRODUCIBLE","REMOVE","No old component-effect percentages retained","ODE/Transformer/aggregator criticality percentages","Clean controlled repeated ablation after a viable candidate exists","Original GFNODE","docs/asoc_stage0_audit/EXPERIMENT_PROVENANCE.csv"
"C18","Table11","Seven-horizon three-array GFNODE performance","Printed performance table","Earlier run lacks H72/H120; later seven-H run differs (e.g. Sanyo H48 .24397 vs .230)","NOT_REPRODUCIBLE","REMOVE","Rebuild from clean artifacts if a future paper needs these tasks","Any Table11 legacy number","One complete clean source chain","Original GFNODE","docs/asoc_stage0_audit/EXPERIMENT_PROVENANCE.csv"
"C19","Figure12","Vector-field convergence confirms stable latent dynamics","Latent vector-field plot","Uses random 128-D states/random starts/per-H SVD; field omits residual; not held-out latent trajectories","CONTRADICTED_BY_FIGURE_CODE","REMOVE","Figure12 is an internal synthetic visualization and is excluded from publication","Convergent attracting regions or stable learned latent dynamics","Real held-out latent states, correct vector field, common projection basis and stability metrics","Original GFNODE","docs/asoc_stage0_audit/ODE_IMPLEMENTATION_TRACE.md"
"C20","Table12 / Figure13","Seasonal robustness and parallel degradation curves","Legacy seasonal artifacts","Autumn H12 saved R²=.8913/RMSE=.5362 vs paper .960/.272; separate checkpoints exist","NOT_REPRODUCIBLE","REMOVE","May discuss need for future temporal validation only","Seasonal stability/transfer from Table12/Fig13","Frozen cross-season clean evaluation","Original GFNODE","docs/asoc_stage0_audit/EXPERIMENT_PROVENANCE.csv"
"C21","Table13 / Figure14","GFNODE outperforms six SOTA models and is within one SD when marginally behind","Printed comparison","No GFNODE row in located raw CSV; test chooses LR/checkpoint; no SD output exists","NOT_REPRODUCIBLE","REMOVE","No SOTA superiority or standard-deviation statement retained","Six-SOTA superiority; within one standard deviation","Fair clean multi-seed benchmark with validation-only selection","Original GFNODE","docs/asoc_stage0_audit/EXPERIMENT_PROVENANCE.csv"
"C22","Sec.4.5.2","1.13M params, 132.77M FLOPs and 106.37ms support deployment","Profiling text","Old CSV gives 42.88±4.62ms; hardware/software unspecified; FLOPs/latency cannot verify","NOT_REPRODUCIBLE","REMOVE","Deployment requires a future end-to-end hardware-specific study","Operationally suitable; 106.37ms verified; edge-ready","Hardware/software manifest, end-to-end latency percentiles and operational study","Original GFNODE","docs/asoc_stage0_audit/STAGE0_AUDIT_REPORT.md"
"C23","Sec.2 data description","Three Alice Springs arrays and eight fields at 5-min resolution","DKASC/project CSVs","2018 project files preserve complete 5-min timestamps but are not provably untouched raw downloads; 2022 authoritative data later obtained","PARTIALLY_REPRODUCIBLE","REVISE","Use authoritative DKASC exports where available; describe 2018 files as best available project source layer","Untouched raw-data provenance for old CSVs","Official download metadata and exact units/capacities for any main-study dataset","Data lineage","GFNODE_experiments/asoc_data_lineage_audit/DATASET_LINEAGE_AUDIT_REPORT.md"
"C24","Potential recovered paper results","TRAJECTORY_ONLY is a reliable deterministic forecast result","Not in original GFNODE claims","Three-seed clean artifacts reproduce metrics; ModernTCN is prior art","REPRODUCIBLE","RETAIN","ModernTCN is used as a published baseline within a leakage-free application protocol","A new project-original ModernTCN algorithm","Necessary baselines and independent time confirmation for a new application paper","ModernTCN / multirate screen","GFNODE_experiments/asoc_multirate_information_screen/REPORT.md"
"C25","Potential discussion/supplement","Past high-frequency irradiance volatility marks difficult periods but does not stably improve point forecasts","Not in original manuscript","HF_DYNAMICS loses H12 in 3/3; error analysis shows volatility correlates with difficulty but lacks future direction","REPRODUCIBLE_EXPLORATORY","EXPLORATORY_ONLY","Past volatility is a risk/difficulty diagnostic in Site17/2022; no causal or general claim","High-frequency dynamics improve forecasting or justify continuous-time modeling","Independent years/sites and a preregistered information-gain analysis","HF information; trajectory opportunity","GFNODE_experiments/asoc_multirate_information_screen/REPORT.md"
"C26","Potential discussion/supplement","Ramp events are predictable from causal history","Not in original manuscript","Ramp head beats simple baselines for step risk; onset/interval/joint routes fail their broader objectives","REPRODUCIBLE_EXPLORATORY","EXPLORATORY_ONLY","A Site17/2022 model score discriminates ramp-step risk; this does not improve probability intervals or exact onset timing","Operational ramp forecasting, calibrated intervals, or joint benefit","Independent validation and trained event baselines without harming power trajectory","Ramp signal; onset screens","GFNODE_experiments/asoc_ramp_signal_challenge/REPORT.md"
"C27","Potential recovered method","ALICD fixes trajectory oversmoothing","Not in original manuscript","Exact projection worked algebraically but Validation high-change RMSE worsened and TV ratio fell","FAILED_CLEAN_SCREEN","REMOVE","ALICD is retained only as an internal negative experiment","ALICD improves trajectories or is an ASOC contribution","A new hypothesis would be out of scope; no v2/v3 planned","ALICD","GFNODE_experiments/asoc_alicd_screen/REPORT.md"
